,Facility Name,Location Type,Operator,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Address
473,Rose Hill Park,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.861725,-73.890761,"Citi Bike, East Fordham Road, Belmont, Bronx County, The Bronx, New York, 10458, United States"
474,Martin Luther King Jr. Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.667421,-73.890205,"541, Miller Avenue, New Lots, Brooklyn, Kings County, New York, 11207, United States"
475,Slope Park Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.661302,-73.989333,"Slope Park Playground, 19th Street, South Slope, Sunset Park, Kings County, New York, 11218, United States"
476,"Van Cortlandt Mansion, Tennis Courts, Memorial Grove",Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.891109,-73.893936,"Van Cortlandt Nature Center, John Muir Trail, Bronx County, The Bronx, New York, 10471, United States"
477,"Woodstock Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/woodstock,40.820627,-73.904649,"Woodstock Library, 761, East 160th Street, Melrose, Bronx County, The Bronx, New York, 10456, United States"
478,Lookout Hill,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.656907,-73.970375,"Wellhouse, 200, Wellhouse Drive, Brooklyn, Kings County, New York, 11215, United States"
479,,,,,,,,,,,,,
480,El Shabazz Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.682689,-73.930705,"406, MacDonough Street, Bedford-Stuyvesant, Brooklyn, Kings County, New York, 11233, United States"
481,Watson Gleason Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.829028,-73.869112,"1147, Noble Avenue, West Farms, Bronx County, The Bronx, New York, 10472, United States"
482,Frontera Park,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.724875,-73.895406,"Queens-Midtown Expressway, Queens County, New York, 11378, United States"
483,Cadman Plaza Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.698452,-73.990628,"Brooklyn War Memorial, 172, Cadman Plaza East, Dumbo, Brooklyn, Kings County, New York, 11201, United States"
484,,,,,,,,,,,,,
485,Eleanor Roosevelt Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.692747,-73.935804,"Eleanor Roosevelt Playground, Kosciuszko Street, Brooklyn, Kings County, New York, 11221, United States"
486,Crotona Park Tennis House & Courts,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.840041,-73.895348,"Crotona Avenue @ Tennis Courts, Crotona Avenue, East Tremont, Bronx County, The Bronx, New York, 10458, United States"
487,Baisley Pond Park Zone 3,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.67779,-73.784129,"121-05, Lakeview Boulevard East, Cedar Manor Houses, Queens, New York, 11434, United States"
488,Seba Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.589633,-73.920992,"Gerritsen Avenue & Seba Avenue, Gerritsen Avenue, Gerritsen Beach, Brooklyn, Kings County, New York, 11229, United States"
489,Grand Central Parkway Gas,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.765016,-73.861689,"Gulf, Flushing Bay Promenade, East Elmhurst, Queens, New York, 11369, United States"
490,Herald Square,Park,34th Street Partnership,Year Round,8am-9pm,Fully Accessible,Multi-Stall All Gender Restrooms,,,,40.750455,-73.987505,"James Gordon Bennett Monument, Herald Square, Manhattan, New York County, New York, 10120, United States"
491,North Rochdale Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.680069,-73.775129,"167-02, Baisley Boulevard, Rochdale Village, Queens, New York, 11434, United States"
492,Bayside Fields,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.773053,-73.78496,"27-22, 206th Street, Bayside, Queens, New York, 11360, United States"
493,"Starvos Niarchos Foundation Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 8:00 am - 9:00 pm 
Tuesday: 8:00 am - 9:00 pm 
Wednesday: 8:00 am - 9:00 pm 
Thursday: 8:00 am - 9:00 pm  
Friday: 8:00 am - 9:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/snfl,40.7519,-73.9817,"Stavros Niarchos Foundation Library, 455, 5th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10018, United States"
494,Redfern Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.611049,-73.749098,"Kel-Tech Construction, 12-11, Redfern Avenue, Far Rockaway, Queens, New York, 11691, United States"
495,"Kensington Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,The restrooms have a free feminine hygiene product dispenser.,https://www.bklynlibrary.org/locations/kensington,40.6313,-73.975437,"Brooklyn Public Library - Kensington Branch, 4207, 18th Avenue, Parkville, Brooklyn, Kings County, New York, 11230, United States"
496,"Howard Beach Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/Howard-Beach/,40.663819,-73.841804,"Howard Beach Branch Queens Borough Public Library, 92-06, 156th Avenue, Howard Beach, Queens, New York, 11414, United States"
497,Cypress Hills Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.670751,-73.871083,"Euclid Avenue & Blake Avenue, Euclid Avenue, Brooklyn, Kings County, New York, 11208, United States"
498,McKinley Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.724269,-73.985628,"Ageloff Towers, Avenue A, Manhattan Community Board 3, Manhattan, New York County, New York, 10009, United States"
499,,,,,,,,,,,,,
500,,,,,,,,,,,,,
501,Bushwick Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.701712,-73.939483,"835, Flushing Avenue, Brooklyn, Kings County, New York, 11206, United States"
502,Cherry Tree Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.787168,-73.947233,"205, East 99th Street, Manhattan Community Board 11, Manhattan, New York County, New York, 10029, United States"
503,Hunters Point South,Park,Building management,Year Round,,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.738411,-73.960924,"Gotham Point South Tower, 56-27, 2nd Street, Hunters Point, Queens, New York, 11101, United States"
504,Drew Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.832982,-73.903326,"Morrisania Chest Clinic, 1309, Fulton Avenue, Morrisania, Bronx County, The Bronx, New York, 10456, United States"
505,Van Cortlandt Pool,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.890661,-73.897424,"Park Headquarters, Broadway, Fieldston, Bronx County, The Bronx, New York, 10471, United States"
506,"St. George Library Center, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm  
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/st-george-library-center,40.641808,-74.07668,"Saint George Library Center, 5, Central Avenue, Saint George, Staten Island, Richmond County, New York, 10301, United States"
507,Crotona Park Indoor Tennis,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.839595,-73.895042,"Crotona Avenue @ Tennis Courts, Crotona Avenue, East Tremont, Bronx County, The Bronx, New York, 10458, United States"
508,Fermi Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.700313,-73.928534,"Fermi Playground, Troutman Street, Brooklyn, Kings County, New York, 11237, United States"
509,,,,,,,,,,,,,
510,"Edenwald Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/edenwald,40.888903,-73.840839,"Edenwald Library, 1255, East 233rd Street, Bronx County, The Bronx, New York, 10466, United States"
511,"St. Agnes Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 6:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/st-agnes,40.784843,-73.977454,"St. Agnes Library, 444, Amsterdam Avenue, Manhattan Community Board 7, Manhattan, New York County, New York, 10024, United States"
512,Northern Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.756285,-73.874495,"94th Street, Queens County, New York, 11372, United States"
513,Castle Clinton National Monument,Park,The Battery Conservancy,Year Round,9am - 4:30pm,,,,,,40.703407,-74.016429,"Castle Clinton, 10, Battery Place, Whitehall, Battery Park City, Manhattan, New York County, New York, 10004, United States"
514,Louis Pasteur Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.761764,-73.735398,"51-20, 248th Street, Little Neck, Queens, New York, 11362, United States"
515,Carver Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.680447,-73.920513,"244, Marion Street, Ocean Hill, Brooklyn, Kings County, New York, 11233, United States"
516,"Corona Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/corona,40.750902,-73.861978,"Queens Public Library, 38-23, 104th Street, Corona, Queens, New York, 11368, United States"
517,Soundview Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.818019,-73.870393,"2, Metcalf Avenue, Bronx County, The Bronx, New York, 10472, United States"
518,Bill Rainey Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.818759,-73.898325,"921, Intervale Avenue, Bronx County, The Bronx, New York, 10459, United States"
519,DiGilio Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.632764,-73.97727,"872, McDonald Avenue, Parkville, Brooklyn, Kings County, New York, 11218, United States"
520,Coney Island Beach Zone 2a,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.574934,-73.959762,"Riegelmann Boardwalk, Brighton Beach, Kings County, New York, 11235, United States"
521,Playground Eighty LXXX,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.744859,-73.709589,"80th Avenue, Glen Oaks, Queens County, New York, 11040, United States"
522,Bayview Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.634948,-73.887219,"9920, Seaview Avenue, Brooklyn, Kings County, New York, 11236, United States"
523,Ancient Playground,Park,Central Park Conservancy,Year Round,7am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.780996,-73.961592,"Ancient Playground, 86th Street Transverse, Upper East Side, Manhattan, New York County, New York, 10028, United States"
524,Sol Lain Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.71441,-73.983979,"285, East Broadway, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States"
525,E.M.T. Christopher J. Prescott Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.522489,-74.185827,"Intermediate School 7, Huguenot Avenue, Staten Island, Richmond County, New York, 10312, United States"
526,Virginia Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.834325,-73.862182,"Saint Paul's Lutheran Church, McGraw Avenue, Bronx County, The Bronx, New York, 10472, United States"
527,Baruch Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.717221,-73.976921,"Baruch Playground, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States"
528,Martin Van Buren Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.835128,-73.896207,"1424, Crotona Park East, Charlotte Gardens, Bronx County, The Bronx, New York, 10460, United States"
529,Baisley Pond Park Zone 4,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.674641,-73.787828,"153-02, 125th Avenue, Queens, New York, 11434, United States"
530,"Brighton Beach Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/brighton-beach,40.576116,-73.966776,"Brooklyn Public Library, 16, Brighton 1st Road, Brooklyn, Kings County, New York, 11235, United States"
531,Little Flower Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.71258,-73.988577,"Little Flower Playground, Madison Street, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States"
532,Cedar Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.855276,-73.917529,"Cedar Avenue, Morris Heights, Bronx County, The Bronx, New York, 10468, United States"
533,Crowley Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.729314,-73.87985,"Long Island Expressway, Elmhurst, Queens County, New York, 11373, United States"
534,,,,,,,,,,,,,
535,Arverne East Nature Preserve,Park,Building management,Year Round,,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.592368,-73.775151,"Edgemere, Queens County, New York, 11692, United States"
536,Clearview Cafe,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.786638,-73.792331,"Vivo Mediterranean grill, 201-10, 15th Avenue, Queens, New York, 11360, United States"
537,Millennium Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.635483,-74.019348,"Milennium Playground, Leif Ericson Park Greenway, Bay Ridge, Brooklyn, Kings County, New York, 11220, United States"
538,Teardrop Park - Solaire Building,Park,Battery Park City Authority,Year Round,,,,,,,40.716911,-74.016184,"The Solaire, 20, River Terrace, Manhattan Community Board 1, Manhattan, New York County, New York, 10282, United States"
539,Juniper Valley Park Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.718758,-73.884557,"62-40, 71st Street, Middle Village, Queens, New York, 11379, United States"
540,Ciccarone Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.855901,-73.886586,"Vincent Ciccarone Playground, Hughes Avenue, Belmont, Bronx County, The Bronx, New York, 10458, United States"
541,Cunningham Park Zone 2,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.729649,-73.773627,"Cunningham Park Entrance, Union Turnpike, Queens, New York, 11423, United States"
542,De Witt Clinton Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.768206,-73.994637,"737, 11th Avenue, Clinton, Manhattan Community Board 4, Manhattan, New York County, New York, 10019, United States"
543,Tilden Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.647904,-73.931386,"4815, Tilden Avenue, Brooklyn Community District 17, Brooklyn, Kings County, New York, 11203, United States"
544,"Coney Island Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/coney-island-library,40.576646,-73.986063,"Coney Island Library, 1901, Mermaid Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States"
545,Plaza de Las Americas APT,Public Plaza,NYC DOT/JCDecaux,Year Round,8am-8pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,This unit costs $.25 to use.,https://portal.311.nyc.gov/article/?kanumber=KA-02226,40.84593,-73.937997,"34, Wadsworth Avenue, Manhattan Community Board 12, Manhattan, New York County, New York, 10033, United States"
546,Monsignor Mcgolrick Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.724828,-73.943479,"McGlorick Park Shelter Pavilion, Monitor Street, Brooklyn, Kings County, New York, 11222, United States"
547,,,,,,,,,,,,,
548,"Whitestone Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/whitestone,40.788549,-73.810703,"Whitestone Public Library, 151-10, 14th Road, Whitestone, Queens, New York, 11357, United States"
549,Luther Gulick Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.71594,-73.981596,"275, Delancey Street, Lower East Side, Manhattan, New York County, New York, 10002, United States"
550,Mafera Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.706043,-73.891339,"68-18, 65th Place, Ridgewood, Queens, New York, 11385, United States"
551,The Pearly Gates Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.838776,-73.845741,"2460, Tratman Avenue, Bronx County, The Bronx, New York, 10461, United States"
552,Willink Hill,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.662905,-73.963469,"Willink Maintenance Office, East Drive, Brooklyn, Kings County, New York, 11225, United States"
553,,,,,,,,,,,,,
554,Flushing Meadows Ice Rink,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.751909,-73.837891,"Flushing Meadows Aquatic Center, Meridian Road, Queens, New York, 11355, United States"
555,"Hollis Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),No,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/hollis,40.720175,-73.762322,"Queens Library at Hollis, 202-05, Hillside Avenue, Terrace Heights, Queens, New York, 11423, United States"
556,Athens Square,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.768009,-73.921874,"28-20, 30th Street, Astoria, Queens, New York, 11102, United States"
557,Kaiser Park Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.578523,-73.995414,"2529, Neptune Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States"
558,"Brownsville Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/brownsville,40.671535,-73.908605,"Brownsville Branch Brooklyn Public Library, 61, Glenmore Avenue, Brooklyn, Kings County, New York, 11212, United States"
559,Frederick Douglass Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.797007,-73.967677,"Frederick Douglass Playground, West 100th Street, Bloomingdale, Manhattan Community Board 7, Manhattan, New York County, New York, 10025, United States"
560,Herbert Von King Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.689845,-73.946509,"Herbert Von King Cultural Arts Center, 670, Lafayette Avenue, Brooklyn, Kings County, New York, 11216, United States"
561,"Hamilton Grange Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 11:00 am - 6:00 pm 
Saturday: 11:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/hamilton-grange,40.825681,-73.948034,"Hamilton Grange Library, 503, West 145th Street, Manhattan Community Board 9, Manhattan, New York County, New York, 10031, United States"
562,Gouverneur Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.83577,-73.903351,"3711, Third Avenue, Morrisania, Bronx County, The Bronx, New York, 10456, United States"
563,Frederick Johnson Playground,Park,NYC Parks,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.824672,-73.934799,"2619, Harlem River Drive, Harlem, Manhattan, New York County, New York, 10039, United States"
564,Pena Herrera Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.649389,-74.012122,"3rd Avenue & 47th Street, 3rd Avenue, Brooklyn, Kings County, New York, 11220, United States"
565,Tiger Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.688027,-73.911172,"690, Evergreen Avenue, Brooklyn, Kings County, New York, 11207, United States"
566,,,,,,,,,,,,,
567,,,,,,,,,,,,,
568,Renaissance Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.821684,-73.941657,"263, West 144th Street, Harlem, Manhattan, New York County, New York, 10030, United States"
569,,,,,,,,,,,,,
570,,,,,,,,,,,,,
571,Sara D. Roosevelt Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.718813,-73.993045,"Central Communications Building, 313, Broome Street, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States"
572,"Briarwood Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/briarwood,40.710043,-73.819454,"Briarwood, 8512, Main Street, Queens, New York, 11435, United States"
573,"Queensbridge Tech Lab Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 12:00 pm - 8:00 pm 
Tuesday: Closed 
Wednesday: 12:00 pm - 8:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: Closed 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),No,"Yes, a key is needed to enter",https://www.queenslibrary.org/programs-activities/technology-training/queensbridge-tech-lab,40.754953,-73.944111,"Library Tech Lab at Queensbridge, 10-43, 41st Avenue, Queensbridge North Houses, Queens, New York, 11101, United States"
574,Jaime Campiz Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.713438,-73.954456,"Jaime Campiz Playground, Brooklyn-Queens Expressway, Williamsburg, Brooklyn, Kings County, New York, 11249, United States"
575,East Parade Grounds,Park,NYC Parks,Seasonal,Open by permit,Not Accessible,Multi-Stall W/M Restrooms,,,,40.650803,-73.968193,"Lark by the Park, Caton Avenue, Kensington, Brooklyn, Kings County, New York, 11226, United States"
576,Poppenhusen Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.781418,-73.844513,"20th Avenue & 124th Street, 20th Avenue, College Point, Queens, New York, 11357, United States"
